"movie_id";"person_id";"characters_played"
12349;88471;"[""His Assistant""]"
12349;122;"[""A Tramp""]"
12349;701012;"[""The Woman""]"
12349;1067;"[""The Child""]"
12349;588033;"[""The Man""]"
12349;42317;"[""Car Thief"
12349;47800;"[""Bride""]"
12349;48798;"[""Slum Nurse""]"
12349;74788;"[""Professor Guido"
12349;80930;"[""Orphan Asylum Driver""]"
13442;775180;"[""Graf Orlok""]"
13442;334603;"[""Knock - ein Häusermakler""]"
13442;903194;"[""Hutter""]"
13442;775659;"[""Ellen - seine Frau""]"
15864;122;"[""The Lone Prospector""]"
15864;841501;"[""Big Jim McKay""]"
15864;615306;"[""Black Larsen""]"
15864;74788;"[""Hank Curtis""]"
15864;906618;"[""Jack Cameron""]"
15864;354913;"[""Georgia""]"
15864;1033900;"[""Man in Dance Hall""]"
17136;375609;"[""Maria"
17136;2154;"[""Johann (Joh) Fredersen""]"
17136;297054;"[""Freder Fredersen - Joh Fredersens Sohn""]"
17136;459030;"[""Erfinder C.A. Rotwang"
21749;122;"[""A Tramp""]"
21749;156039;"[""A Blind Girl""]"
21749;5681967;"[""The Blind Girl's Grandmother""]"
21749;616729;"[""An Eccentric Millionaire""]"
22100;48;"[""Hans Beckert""]"
22100;927145;"[""Frau Beckmann""]"
22100;484737;"[""Elsie Beckmann""]"
22100;921532;"[""Inspector Karl Lohmann""]"
25316;858977;"[""King Westley""]"
25316;22;"[""Peter Warne""]"
25316;1055;"[""Ellie Andrews""]"
25316;175369;"[""Alexander Andrews""]"
25316;439850;"[""Oscar Shapeley""]"
27977;305087;"[""President of the Electro Steel Corp.""]"
27977;122;"[""A Factory Worker""]"
27977;2104;"[""A Gamin""]"
27977;74788;"[""Cafe Proprietor""]"
27977;761866;"[""Big Bill""]"
27977;174682;"[""Mechanic""]"
27977;3424;"[""Burglar""]"
27977;90008;"[""Gamin's Father""]"
29583;143314;"[""Snow White""]"
29583;830968;"[""Prince""]"
29583;479164;"[""Queen"
29583;41165;"[""Doc""]"
31381;22;"[""Rhett Butler - Visitor from Charleston""]"
31381;46;"[""Scarlett - Their Daughter""]"
31381;593775;"[""Gerald O'Hara""]"
31381;641966;"[""Ellen - His Wife""]"
31679;71;"[""Jefferson Smith""]"
31679;795;"[""Saunders""]"
31679;1647;"[""Senator Joseph Paine""]"
31679;36427;"[""Jim Taylor""]"
32138;23;"[""Dorothy Gale""]"
32138;604656;"[""Professor Marvel"
32138;1961;"[""'Hunk'"
32138;481618;"[""'Zeke'"
32553;354916;"[""Madame Napaloni""]"
32553;122;"[""Hynkel - Dictator of Tomania"
32553;2104;"[""Hannah""]"
