"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
2;"Lauren Bacall";1924;2014;"actress,soundtrack";"tt0037382,tt0075213,tt0117057,tt0038355"
4;"John Belushi";1949;1982;"actor,soundtrack,writer";"tt0078723,tt0080455,tt0072562,tt0077975"
5;"Ingmar Bergman";1918;2007;"writer,director,actor";"tt0050986,tt0050976,tt0060827,tt0069467"
6;"Ingrid Bergman";1915;1982;"actress,soundtrack,producer";"tt0036855,tt0034583,tt0038787,tt0038109"
7;"Humphrey Bogart";1899;1957;"actor,soundtrack,producer";"tt0042593,tt0043265,tt0034583,tt0037382"
8;"Marlon Brando";1924;2004;"actor,soundtrack,director";"tt0047296,tt0078788,tt0068646,tt0070849"
11;"Gary Cooper";1901;1961;"actor,soundtrack,stunts";"tt0035896,tt0027996,tt0034167,tt0044706"
12;"Bette Davis";1908;1989;"actress,soundtrack,make_up_department";"tt0035140,tt0042192,tt0056687,tt0031210"
17;"Marlene Dietrich";1901;1992;"soundtrack,actress,music_department";"tt0055031,tt0021156,tt0051201,tt0052311"
18;"Kirk Douglas";1916;2020;"actor,producer,soundtrack";"tt0054331,tt0050825,tt0043338,tt0049456"
19;"Federico Fellini";1920;1993;"writer,director,actor";"tt0056801,tt0071129,tt0047528,tt0050783"
20;"Henry Fonda";1905;1982;"actor,producer,soundtrack";"tt0051207,tt0050083,tt0082846,tt0032551"
21;"Joan Fontaine";1917;2013;"actress,soundtrack,producer";"tt0032976,tt0034248,tt0035751,tt0040536"
22;"Clark Gable";1901;1960;"actor,soundtrack,producer";"tt0023382,tt0031381,tt0026752,tt0025316"
23;"Judy Garland";1922;1969;"soundtrack,actress";"tt0055031,tt0047522,tt0037059,tt0032138"
24;"John Gielgud";1904;2000;"actor,writer,director";"tt0045943,tt0071877,tt0082031,tt0117631"
26;"Cary Grant";1904;1986;"actor,soundtrack,producer";"tt0038787,tt0053125,tt0056923,tt0034248"
27;"Alec Guinness";1914;2000;"actor,soundtrack,writer";"tt0051739,tt0076759,tt0050212,tt0041546"
30;"Audrey Hepburn";1929;1993;"actress,soundtrack";"tt0056923,tt0054698,tt0058385,tt0046250"
32;"Charlton Heston";1923;2008;"actor,director,soundtrack";"tt0052618,tt0063442,tt0067525,tt0049833"
33;"Alfred Hitchcock";1899;1980;"director,producer,writer";"tt0052357,tt0040746,tt0054215,tt0053125"
34;"William Holden";1918;1981;"actor,soundtrack,miscellaneous";"tt0043014,tt0074958,tt0047437,tt0046359"
37;"Gene Kelly";1912;1996;"soundtrack,actor,miscellaneous";"tt0043278,tt0045152,tt0053946,tt0041716"
38;"Grace Kelly";1929;1982;"actress,soundtrack,producer";"tt0046912,tt0048728,tt0047396,tt0046874"
40;"Stanley Kubrick";1928;1999;"director,writer,producer";"tt0066921,tt0062622,tt0072684,tt0093058"
41;"Akira Kurosawa";1910;1998;"writer,director,assistant_director";"tt0047478,tt0089881,tt0080979,tt0051808"
45;"Bruce Lee";1940;1973;"actor,writer,miscellaneous";"tt0070034,tt0068935,tt0067824,tt0068767"
46;"Vivien Leigh";1913;1967;"actress,soundtrack,writer";"tt0031381,tt0033238,tt0034272,tt0044081"
48;"Peter Lorre";1904;1964;"actor,soundtrack,writer";"tt0033870,tt0022100,tt0036613,tt0034583"
51;"James Mason";1909;1984;"actor,producer,writer";"tt0056193,tt0047522,tt0045943,tt0053125"
52;"Marcello Mastroianni";1924;1996;"actor,producer,soundtrack";"tt0053779,tt0056801,tt0058335,tt0076085"
54;"Marilyn Monroe";1926;1962;"soundtrack,actress,writer";"tt0053291,tt0050861,tt0048605,tt0045810"
56;"Paul Newman";1925;2008;"actor,producer,director";"tt0110684,tt0257044,tt0084855,tt0054997"
59;"Laurence Olivier";1907;1989;"actor,producer,director";"tt0032976,tt0077269,tt0074860,tt0069281"
60;"Gregory Peck";1916;2003;"actor,producer,soundtrack";"tt0038109,tt0077269,tt0056592,tt0046250"
61;"Tyrone Power";1914;1958;"actor,soundtrack,producer";"tt0051201,tt0034405,tt0042256,tt0043959"
63;"Anthony Quinn";1915;2001;"actor,producer,soundtrack";"tt0057831,tt0064952,tt0056172,tt0049456"
64;"Edward G. Robinson";1893;1973;"actor,soundtrack,writer";"tt0038991,tt0040506,tt0036775,tt0021079"
71;"James Stewart";1908;1997;"actor,soundtrack,director";"tt0052357,tt0052561,tt0038650,tt0031679"
